movie_id,movie_name,year,genre,overview,director,cast
tt0429289,tauba tauba,2004.0,"Comedy, Drama","15-year-old Sunny (Amin Gazi), the motherless child of business tycoon Mohan Shanbagh (Ayub Khan), is obsessed with sex, partially because of his environment. His sex-crazed principal Mr. ...                See full summary »",T.L.V. Prasad,"Laxmikant Berde, Bobby Darling, Amin Gazi, Vikaas Kalantari"
tt0073104,hera pheri,1976.0,"Action, Comedy, Crime",Two friends Ajay and Vijay gets separated from each other when they discover secrets about their past in their own ways.,Prakash Mehra,"Saira Banu, Vinod Khanna, Amitabh Bachchan, Sulakshana Pandit"
tt3142232,heropanti,2014.0,"Action, Romance",Two young people find love despite the violent landscape in which they live.,Sabir Khan,"Tiger Shroff, Kriti Sanon, Parthaa Akerkar, Sunil Grover"
tt8458202,pihu,2016.0,"Drama, Thriller","A two year old must fend for herself when her mother suddenly passes by away while her father is gone for a conference, leaving her prone to danger.",Vinod Kapri,"Rahul Bagga, Pihu Myra Vishwakarma, Prerna Vishwakarma"
tt14902008,oh my ghost,2022.0,"Comedy, Horror","When a single women and her two friends reaches in a small town, they begin to discover their connection to the original Ghost and the secret legacy their grandfather left behind",R. Yuvan,"Sunny Leone, Yogi Babu, Motta Rajendran, Sathish"
tt0126234,chamatkar,1992.0,"Comedy, Drama, Fantasy","When Sunder loses everything, he seeks refuge in a graveyard, where he befriends a ghost.",Rajiv Mehra,"Naseeruddin Shah, Shah Rukh Khan, Urmila Matondkar, Malvika Tiwari"
tt1288638,dasvidaniya,2008.0,"Comedy, Drama","A man who loves to make ""to-do lists"" makes one last bucket list when he realizes he is about to die.",Shashant Shah,"Vinay Pathak, Sarita Joshi, Rajat Kapoor, Saurabh Shukla"
tt0860454,mp3: mera pehla pehla pyaar,2007.0,"Comedy, Drama, Musical","Delhi-based Rohan Sood lives a wealthy lifestyle along with his businessman dad, Shekhar, and mom, Renu. He attends St. Lawrence High School and is friendly with Vasu, Sudhir and Javed, and...                See full summary »",Robbie Grewal,"Menekka Arora, Sarthak Bhasin, Sagar Chawla, Hazel Croney"
tt0346507,andaaz,2003.0,"Drama, Musical, Romance","Loyalty, Respect, commitment and love. What is Love? Loyalty, respect, commitment and friendship. Friendship and Love... Love and Friendship... So much in common, yet so different in emotion!",Raj Kanwar,"Akshay Kumar, Lara Dutta, Priyanka Chopra Jonas, Rajeev Verma"
tt0388403,shanakht,1989.0,Drama,A military officer plane crashes in a lake his life is saved but looses his memory an dis nursed by a college student.,Tinnu Anand,"Amitabh Bachchan, Madhuri Dixit, Madhavi"
